,Episode,Epsilon,Average_Reward,Min_Reward,Max_Reward
0,100,0.9755507513693968,-777.5,-6500.0,2250.0
1,200,0.9514613436802705,-587.5,-5250.0,2500.0
2,300,0.9279667790190425,-945.0,-6000.0,1750.0
3,400,0.9050523688457367,-565.0,-4500.0,2250.0
4,500,0.8827037873264969,-515.0,-5000.0,2000.0
5,600,0.8609070623772361,-740.0,-4250.0,2250.0
6,700,0.8396485669284426,-492.5,-5750.0,2500.0
7,800,0.8189150104056914,-392.5,-5000.0,3000.0
8,900,0.7986934304205224,-245.0,-5500.0,2750.0
9,1000,0.7789711846665023,-232.5,-3500.0,3000.0
10,1100,0.7597359430153912,-442.5,-4250.0,2250.0
11,1200,0.7409756798084896,-337.5,-4500.0,2750.0
12,1300,0.7226786663383253,-340.0,-4500.0,2750.0
13,1400,0.7048334635160011,-530.0,-7000.0,1750.0
14,1500,0.6874289147195983,-487.5,-5000.0,1750.0
15,1600,0.6704541388191863,-415.0,-3250.0,1750.0
16,1700,0.6538985233740583,-405.0,-4000.0,2500.0
17,1800,0.6377517179979526,-345.0,-4500.0,2000.0
18,1900,0.622003627888107,-577.5,-4250.0,2750.0
19,2000,0.6066444075140994,-215.0,-3500.0,1750.0
20,2100,0.5916644544625317,-110.0,-4000.0,2250.0
21,2200,0.5770544034337097,-400.0,-4500.0,2250.0
22,2300,0.5628051203865622,-100.0,-4500.0,2500.0
23,2400,0.5489076968281378,-95.0,-3500.0,2000.0
24,2500,0.5353534442441167,-262.5,-4500.0,2500.0
25,2600,0.522133888666848,-80.0,-3750.0,1750.0
26,2700,0.5092407653775173,-275.0,-5500.0,2000.0
27,2800,0.49666601373914093,-320.0,-4250.0,1750.0
28,2900,0.48440177215714153,-175.0,-3500.0,2250.0
29,3000,0.47244037316436877,-107.5,-4000.0,2250.0
30,3100,0.460774338627484,-205.0,-4000.0,2000.0
31,3200,0.44939637507171437,-217.5,-5750.0,1250.0
32,3300,0.43829936912105333,-290.0,-5500.0,2000.0
33,3400,0.42747638305105873,32.5,-2500.0,1500.0
34,3500,0.41692065045146304,-65.0,-5500.0,1750.0
35,3600,0.40662557199589044,-125.0,-3750.0,2250.0
36,3700,0.3965847113160301,-217.5,-3250.0,1500.0
37,3800,0.3867917909776923,-110.0,-3000.0,1500.0
38,3900,0.3772406885562246,-150.0,-3250.0,2250.0
39,4000,0.3679254328088418,-5.0,-4500.0,2000.0
40,4100,0.35884019994147026,-42.5,-4250.0,1750.0
41,4200,0.3499793099677776,-165.0,-5000.0,1500.0
42,4300,0.3413372231581078,-97.5,-5000.0,1500.0
43,4400,0.332908536576105,-252.5,-5000.0,2000.0
44,4500,0.32468798070085736,-155.0,-2750.0,1750.0
45,4600,0.3166704161324505,-200.0,-6000.0,1500.0
46,4700,0.30885083037887323,85.0,-2500.0,2750.0
47,4800,0.30122433472226257,-127.5,-3500.0,2000.0
48,4900,0.2937861611625328,-15.0,-4000.0,1750.0
49,5000,0.28653165943647374,85.0,-3000.0,1500.0
