Episode,Epsilon,Average_Reward,Winrate
100,0.9753068636815545,-393.0,6.0
200,0.9512234783443504,-338.0,7.000000000000001
300,0.9277347873242877,-434.0,3.0
400,0.9048261057535253,-454.0,3.0
500,0.8824831113796653,-328.0,11.0
600,0.8606918356116419,-346.0,6.0
700,0.8394386547867105,-331.0,6.0
800,0.81871028165309,-297.0,10.0
900,0.7984937570629174,-251.0,10.0
1000,0.7787764418703357,-303.0,5.0
1100,0.7595460090296373,-329.0,9.0
1200,0.7407904358885374,-332.0,10.0
1300,0.7224979966717407,-340.0,7.000000000000001
1400,0.7046572551501221,-360.0,13.0
1500,0.6872570574909185,-252.0,8.0
1600,0.6702865252844815,-332.0,7.000000000000001
1700,0.6537350487432148,-324.0,8.0
1800,0.6375922800684531,-303.0,8.0
1900,0.621848126981135,-383.0,9.0
2000,0.606492746412221,-329.0,7.000000000000001
2100,0.591516538348916,-254.0,10.0
2200,0.5769101398328513,-265.0,4.0
2300,0.5626644191064656,-338.0,7.000000000000001
2400,0.5487704699039307,-311.0,8.0
2500,0.5352196058830556,-239.0,13.0
2600,0.5220033551946812,-232.0,11.0
2700,0.5091134551861729,-238.0,17.0
2800,0.49654184723570616,-317.0,12.0
2900,0.4842806717141023,-329.0,7.000000000000001
3000,0.47232226307107766,-319.0,7.000000000000001
3100,0.4606591450428272,-235.0,9.0
3200,0.4492840259779465,-277.0,11.0
3300,0.4381897942787731,-231.0,13.0
3400,0.427369513955296,-256.0,16.0
3500,0.4168164202888502,-309.0,5.0
3600,0.4065239156028915,-219.0,14.000000000000002
3700,0.3964855651382011,-328.0,5.0
3800,0.38669509302994787,-315.0,12.0
3900,0.37714637838408555,-282.0,9.0
4000,0.3678334514506396,-360.0,7.000000000000001
4100,0.3587504898914849,-256.0,10.0
4200,0.34989181514028567,-243.0,13.0
4300,0.34125188885231833,-242.0,12.0
4400,0.332825309441961,-284.0,12.0
4500,0.32460680870568215,-306.0,10.0
4600,0.3165912485284174,-303.0,11.0
4700,0.30877361767127853,-234.0,18.0
4800,0.301149028638582,-263.0,9.0
4900,0.2937127146222422,-325.0,11.0
5000,0.2864600265216146,-311.0,12.0
5100,0.2793864300369309,-277.0,9.0
5200,0.27248750283450524,-451.0,11.0
5300,0.2657589317819404,-195.0,7.000000000000001
5400,0.25919651025160484,-353.0,12.0
5500,0.2527961354906968,-292.0,9.0
5600,0.24655380605624905,-304.0,9.0
5700,0.24046561931347057,-218.0,15.0
5800,0.2345277689958637,-285.0,9.0
5900,0.22873654282558803,-396.0,6.0
6000,0.22308832019258593,-346.0,8.0
6100,0.2175795698910176,-265.0,9.0
6200,0.21220684791159014,-359.0,8.0
6300,0.2069667952884017,-392.0,5.0
6400,0.20185613599895336,-245.0,7.000000000000001
6500,0.19687167491601654,-298.0,11.0
6600,0.19201029581007473,-404.0,10.0
6700,0.1872689594010916,-355.0,6.0
6800,0.18264470145838715,-388.0,7.000000000000001
6900,0.17813463094743343,-304.0,9.0
7000,0.17373592822241254,-313.0,10.0
7100,0.16944584326340498,-261.0,9.0
7200,0.16526169395710788,-244.0,11.0
7300,0.16118086442000784,-470.0,8.0
7400,0.15720080336295972,-363.0,10.0
7500,0.1533190224961491,-267.0,12.0
7600,0.14953309497344097,-371.0,6.0
7700,0.1458406538751428,-374.0,6.0
7800,0.14223939072823263,-339.0,4.0
7900,0.1387270540631278,-415.0,3.0
8000,0.13530144800609065,-454.0,5.0
8100,0.13196043090639323,-272.0,11.0
8200,0.1287019139973809,-304.0,10.0
8300,0.12552386009059874,-418.0,2.0
8400,0.12242428230216422,-469.0,7.000000000000001
8500,0.11940124281058902,-336.0,7.000000000000001
8600,0.11645285164527537,-360.0,8.0
8700,0.11357726550492689,-345.0,9.0
8800,0.11077268660513752,-347.0,8.0
8900,0.10803736155443654,-320.0,3.0
9000,0.10536958025808767,-407.0,6.0
9100,0.10276767484895734,-328.0,4.0
9200,0.10023001864478243,-380.0,5.0
9300,0.09775502513118654,-253.0,9.0
9400,0.09534114696980918,-373.0,11.0
9500,0.0929868750309268,-272.0,6.0
9600,0.09069073744996187,-322.0,4.0
9700,0.08845129870728961,-231.0,8.0
9800,0.08626715873076704,-322.0,11.0
9900,0.0841369520204233,-185.0,11.0
10000,0.08205934679476454,-352.0,3.0
10100,0.08003304415815897,-322.0,10.0
10200,0.07805677728878144,-262.0,12.0
10300,0.07612931064661105,-229.0,8.0
10400,0.07424943920098508,-145.0,12.0
10500,0.07241598767722708,-270.0,12.0
10600,0.07062780982187848,-208.0,5.0
10700,0.06888378768607357,-217.0,12.0
10800,0.06718283092661055,-293.0,9.0
10900,0.06552387612428068,-204.0,9.0
11000,0.06390588611903089,-404.0,9.0
11100,0.06232784936154264,-316.0,4.0
11200,0.06078877928082256,-294.0,9.0
11300,0.05928771366740935,-394.0,3.0
11400,0.05782371407181108,-256.0,8.0
11500,0.05639586521779706,-356.0,14.000000000000002
11600,0.055003274430177336,-285.0,4.0
11700,0.05364507107671213,-285.0,10.0
11800,0.05232040602380221,-372.0,7.000000000000001
11900,0.051028451105620036,-265.0,14.000000000000002
12000,0.04976839860634985,-171.0,18.0
12100,0.048539460755212524,-294.0,5.0
12200,0.04734086923396023,-210.0,15.0
12300,0.04617187469653238,-225.0,10.0
12400,0.045031746300572745,-376.0,9.0
12500,0.04391977125051505,-247.0,10.0
12600,0.04283525435195114,-245.0,11.0
12700,0.041777517577003195,-240.0,5.0
12800,0.04074589964042801,-201.0,17.0
12900,0.039739755586189245,-380.0,14.000000000000002
13000,0.03875845638423779,-217.0,20.0
13100,0.03780138853724933,-258.0,9.0
13200,0.03686795369707253,-290.0,12.0
13300,0.03595756829064861,-206.0,10.0
13400,0.03506966315516785,-219.0,12.0
13500,0.03420368318223534,-268.0,17.0
13600,0.03335908697082348,-247.0,15.0
13700,0.03253534648879412,-287.0,11.0
13800,0.03173194674277848,-237.0,13.0
13900,0.030948385456209412,-209.0,14.000000000000002
14000,0.03018417275530345,-252.0,14.000000000000002
14100,0.029438830862797256,-276.0,16.0
14200,0.028711893799246557,-296.0,16.0
14300,0.028002907091701036,-134.0,23.0
14400,0.027311427489572916,-228.0,13.0
14500,0.026637022687521578,-273.0,11.0
14600,0.025979271055181087,-339.0,13.0
14700,0.025337761373561668,-191.0,13.0
14800,0.024712092577960077,-239.0,13.0
14900,0.0241018735072185,-289.0,9.0
15000,0.023506722659174834,-313.0,15.0
15100,0.022926267952151948,-313.0,9.0
15200,0.022360146492336246,-314.0,11.0
15300,0.021808004346900566,-212.0,14.000000000000002
15400,0.021269496322729307,-227.0,8.0
15500,0.020744285750607487,-362.0,8.0
15600,0.02023204427473895,-283.0,12.0
15700,0.019732451647462006,-262.0,10.0
15800,0.019245195529034104,-177.0,12.0
15900,0.018769971292360535,-234.0,8.0
16000,0.01830648183254497,-270.0,9.0
16100,0.017854437381142802,-173.0,13.0
16200,0.01741355532500111,-266.0,12.0
16300,0.01698356002957209,-259.0,16.0
16400,0.01656418266658937,-285.0,11.0
16500,0.016155161045999657,-269.0,12.0
16600,0.015756239452044365,-293.0,10.0
16700,0.015367168483388972,-346.0,15.0
16800,0.014987704897200131,-241.0,21.0
16900,0.01461761145707293,-238.0,12.0
17000,0.014256656784713358,-267.0,11.0
17100,0.013904615215283146,-332.0,12.0
17200,0.013561266656316632,-324.0,16.0
17300,0.01322639645012143,-254.0,12.0
17400,0.012899795239576784,-217.0,10.0
17500,0.012581258837245882,-196.0,20.0
17600,0.012270588097720124,-354.0,12.0
17700,0.011967588793115632,-260.0,10.0
17800,0.011672071491644129,-320.0,9.0
17900,0.011383851439182321,-259.0,12.0
18000,0.011102748443765664,-258.0,14.000000000000002
18100,0.010828586762934357,-195.0,16.0
18200,0.01056119499386111,-272.0,18.0
18300,0.010300405966192024,-334.0,9.0
18400,0.010046056637533518,-332.0,14.000000000000002
18500,0.009797987991520079,-376.0,5.0
18600,0.009556044938398985,-354.0,7.000000000000001
18700,0.009320076218069915,-259.0,8.0
18800,0.009089934305518816,-218.0,11.0
18900,0.00886547531858693,-267.0,13.0
19000,0.00864655892801725,-213.0,20.0
19100,0.008433048269722243,-286.0,10.0
19200,0.00822480985921796,-404.0,14.000000000000002
19300,0.008021713508171003,-197.0,16.0
19400,0.007823632243006234,-290.0,12.0
19500,0.007630442225524297,-251.0,14.000000000000002
19600,0.0074420226754794054,-281.0,14.000000000000002
19700,0.00725825579506883,-229.0,14.000000000000002
19800,0.00707902669528705,-295.0,14.000000000000002
19900,0.006904223324098412,-274.0,6.0
20000,0.006733736396383461,-347.0,14.000000000000002
20100,0.006567459325615091,-213.0,17.0
20200,0.006405288157221837,-270.0,13.0
20300,0.0062471215035966405,-237.0,13.0
20400,0.00609286048071044,-214.0,14.000000000000002
20500,0.0059424086462909935,-191.0,19.0
20600,0.0057956719395282205,-139.0,13.0
20700,0.0056525586222684636,-322.0,17.0
20800,0.005512979221660789,-236.0,11.0
20900,0.005376846474219563,-376.0,10.0
21000,0.00524407527126831,-192.0,14.000000000000002
21100,0.005114582605730695,-267.0,10.0
21200,0.004988287520235442,-249.0,15.0
21300,0.004865111056502671,-218.0,26.0
21400,0.004744976205980074,-312.0,7.000000000000001
21500,0.004627807861698029,-236.0,11.0
21600,0.004513532771313546,-255.0,17.0
21700,0.004402079491313729,-214.0,14.000000000000002
21800,0.004293378342350085,-260.0,21.0
21900,0.004187361365675775,-285.0,8.0
22000,0.0040839622806585546,-303.0,15.0
22100,0.003983116443342868,-317.0,10.0
22200,0.0038847608060351637,-211.0,17.0
22300,0.0037888338778871854,-212.0,11.0
22400,0.003695275686452574,-204.0,15.0
22500,0.003604027740192765,-225.0,11.0
22600,0.0035150329919087257,-213.0,9.0
22700,0.0034282358030756923,-256.0,12.0
22800,0.003343581909058572,-258.0,15.0
22900,0.003261018385186302,-372.0,11.0
23000,0.003180493613663939,-263.0,7.000000000000001
23100,0.0031019572513017917,-144.0,14.000000000000002
23200,0.003025360198041408,-182.0,18.0
23300,0.002950654566258773,-224.0,14.000000000000002
23400,0.0028777936508255046,-327.0,6.0
23500,0.0028067318999093122,-284.0,9.0
23600,0.002737424886495523,-189.0,20.0
23700,0.002669829280611785,-313.0,12.0
23800,0.0026039028222386625,-231.0,12.0
23900,0.002539604294889139,-243.0,8.0
24000,0.002476893499840533,-161.0,17.0
24100,0.0024157312310027013,-241.0,20.0
24200,0.0023560792504068264,-311.0,13.0
24300,0.0022979002642994706,-230.0,16.0
24400,0.002241157899826931,-242.0,16.0
24500,0.002185816682295345,-222.0,13.0
24600,0.002131842012992294,-283.0,13.0
24700,0.0020792001475560882,-249.0,11.0
24800,0.0020278581748791524,-170.0,17.0
24900,0.001977783996532389,-324.0,14.000000000000002
25000,0.001928946306697575,-283.0,14.000000000000002
25100,0.0018813145725953308,-277.0,13.0
25200,0.0018348590153963562,-291.0,16.0
25300,0.0017895505916040461,-331.0,16.0
25400,0.0017453609748968129,-273.0,19.0
25500,0.001702262538418792,-351.0,8.0
25600,0.001660228337507834,-295.0,10.0
25700,0.001619232092850008,-349.0,12.0
25800,0.0015792481740500611,-263.0,13.0
25900,0.0015402515836075885,-237.0,10.0
26000,0.0015022179412888662,-387.0,10.0
26100,0.0014651234688846059,-351.0,16.0
26200,0.0014289449753440862,-243.0,18.0
26300,0.0013936598422763574,-212.0,14.000000000000002
26400,0.0013592460098094848,-338.0,15.0
26500,0.001325681962798956,-207.0,20.0
26600,0.001292946717376658,-357.0,9.0
26700,0.0012610198078319894,-192.0,18.0
26800,0.0012298812738169341,-279.0,14.000000000000002
26900,0.0011995116478670706,-169.0,17.0
27000,0.0011698919432307265,-332.0,13.0
27100,0.0011410036419986804,-391.0,12.0
27200,0.0011128286835269644,-363.0,13.0
27300,0.0010853494531455569,-227.0,10.0
27400,0.0010585487711458831,-329.0,9.0
27500,0.0010324098820402553,-345.0,9.0
27600,0.0010069164440865256,-303.0,10.0
27700,0.001,-386.0,8.0
27800,0.001,-235.0,12.0
27900,0.001,-310.0,11.0
28000,0.001,-380.0,10.0
28100,0.001,-247.0,21.0
28200,0.001,-373.0,12.0
28300,0.001,-360.0,15.0
28400,0.001,-229.0,15.0
28500,0.001,-499.0,6.0
28600,0.001,-286.0,13.0
28700,0.001,-314.0,8.0
28800,0.001,-316.0,10.0
28900,0.001,-319.0,9.0
29000,0.001,-279.0,14.000000000000002
29100,0.001,-349.0,12.0
29200,0.001,-326.0,13.0
29300,0.001,-323.0,15.0
29400,0.001,-308.0,17.0
29500,0.001,-333.0,8.0
29600,0.001,-338.0,9.0
29700,0.001,-368.0,10.0
29800,0.001,-246.0,13.0
29900,0.001,-308.0,16.0
30000,0.001,-273.0,15.0
30100,0.001,-313.0,13.0
30200,0.001,-309.0,11.0
30300,0.001,-356.0,12.0
30400,0.001,-265.0,7.000000000000001
30500,0.001,-176.0,19.0
30600,0.001,-273.0,14.000000000000002
30700,0.001,-262.0,11.0
30800,0.001,-280.0,13.0
30900,0.001,-270.0,11.0
31000,0.001,-238.0,13.0
31100,0.001,-333.0,15.0
31200,0.001,-206.0,19.0
31300,0.001,-264.0,10.0
31400,0.001,-256.0,14.000000000000002
31500,0.001,-299.0,9.0
31600,0.001,-279.0,16.0
31700,0.001,-235.0,14.000000000000002
31800,0.001,-314.0,8.0
31900,0.001,-249.0,12.0
32000,0.001,-374.0,14.000000000000002
32100,0.001,-251.0,15.0
32200,0.001,-272.0,12.0
32300,0.001,-243.0,13.0
32400,0.001,-299.0,15.0
32500,0.001,-313.0,9.0
32600,0.001,-358.0,9.0
32700,0.001,-292.0,9.0
32800,0.001,-355.0,9.0
32900,0.001,-334.0,6.0
33000,0.001,-303.0,12.0
33100,0.001,-303.0,12.0
33200,0.001,-304.0,6.0
33300,0.001,-312.0,8.0
33400,0.001,-239.0,9.0
33500,0.001,-261.0,7.000000000000001
33600,0.001,-456.0,8.0
33700,0.001,-207.0,9.0
33800,0.001,-432.0,3.0
33900,0.001,-249.0,12.0
34000,0.001,-279.0,11.0
34100,0.001,-304.0,9.0
34200,0.001,-280.0,10.0
34300,0.001,-277.0,6.0
34400,0.001,-177.0,17.0
34500,0.001,-314.0,13.0
34600,0.001,-250.0,19.0
34700,0.001,-269.0,12.0
34800,0.001,-342.0,9.0
34900,0.001,-303.0,14.000000000000002
35000,0.001,-343.0,11.0
35100,0.001,-351.0,10.0
35200,0.001,-230.0,12.0
35300,0.001,-332.0,10.0
35400,0.001,-299.0,14.000000000000002
35500,0.001,-281.0,12.0
35600,0.001,-357.0,7.000000000000001
35700,0.001,-259.0,16.0
35800,0.001,-369.0,9.0
35900,0.001,-262.0,4.0
36000,0.001,-397.0,9.0
36100,0.001,-183.0,15.0
36200,0.001,-466.0,9.0
36300,0.001,-280.0,6.0
36400,0.001,-170.0,7.000000000000001
36500,0.001,-177.0,10.0
36600,0.001,-329.0,5.0
36700,0.001,-262.0,14.000000000000002
36800,0.001,-199.0,11.0
36900,0.001,-307.0,11.0
37000,0.001,-278.0,3.0
37100,0.001,-351.0,7.000000000000001
37200,0.001,-351.0,8.0
37300,0.001,-201.0,9.0
37400,0.001,-238.0,13.0
37500,0.001,-237.0,7.000000000000001
37600,0.001,-375.0,8.0
37700,0.001,-355.0,2.0
37800,0.001,-210.0,17.0
37900,0.001,-341.0,5.0
38000,0.001,-283.0,7.000000000000001
38100,0.001,-288.0,16.0
38200,0.001,-281.0,8.0
38300,0.001,-260.0,12.0
38400,0.001,-274.0,7.000000000000001
38500,0.001,-288.0,9.0
38600,0.001,-420.0,9.0
38700,0.001,-277.0,14.000000000000002
38800,0.001,-353.0,4.0
38900,0.001,-235.0,13.0
39000,0.001,-267.0,6.0
39100,0.001,-217.0,6.0
39200,0.001,-375.0,5.0
39300,0.001,-301.0,8.0
39400,0.001,-323.0,5.0
39500,0.001,-418.0,6.0
39600,0.001,-261.0,8.0
39700,0.001,-311.0,8.0
39800,0.001,-272.0,6.0
39900,0.001,-404.0,13.0
40000,0.001,-393.0,7.000000000000001
40100,0.001,-207.0,18.0
40200,0.001,-281.0,11.0
40300,0.001,-314.0,7.000000000000001
40400,0.001,-255.0,16.0
40500,0.001,-306.0,5.0
40600,0.001,-211.0,12.0
40700,0.001,-327.0,9.0
40800,0.001,-375.0,6.0
40900,0.001,-263.0,5.0
41000,0.001,-278.0,13.0
41100,0.001,-434.0,10.0
41200,0.001,-385.0,8.0
41300,0.001,-313.0,7.000000000000001
41400,0.001,-266.0,7.000000000000001
41500,0.001,-244.0,13.0
41600,0.001,-330.0,10.0
41700,0.001,-288.0,13.0
41800,0.001,-442.0,9.0
41900,0.001,-361.0,6.0
42000,0.001,-340.0,10.0
42100,0.001,-267.0,5.0
42200,0.001,-315.0,13.0
42300,0.001,-268.0,9.0
42400,0.001,-329.0,6.0
42500,0.001,-287.0,9.0
42600,0.001,-261.0,18.0
42700,0.001,-341.0,7.000000000000001
42800,0.001,-325.0,9.0
42900,0.001,-282.0,10.0
43000,0.001,-277.0,12.0
43100,0.001,-305.0,7.000000000000001
43200,0.001,-264.0,12.0
43300,0.001,-211.0,11.0
43400,0.001,-216.0,8.0
43500,0.001,-322.0,11.0
43600,0.001,-222.0,14.000000000000002
43700,0.001,-222.0,10.0
43800,0.001,-342.0,7.000000000000001
43900,0.001,-317.0,2.0
44000,0.001,-252.0,10.0
44100,0.001,-294.0,9.0
44200,0.001,-311.0,11.0
44300,0.001,-334.0,15.0
44400,0.001,-319.0,11.0
44500,0.001,-347.0,11.0
44600,0.001,-314.0,5.0
44700,0.001,-307.0,13.0
44800,0.001,-322.0,6.0
44900,0.001,-230.0,7.000000000000001
45000,0.001,-373.0,6.0
45100,0.001,-303.0,9.0
45200,0.001,-360.0,6.0
45300,0.001,-287.0,7.000000000000001
45400,0.001,-228.0,2.0
45500,0.001,-245.0,3.0
45600,0.001,-399.0,7.000000000000001
45700,0.001,-399.0,2.0
45800,0.001,-370.0,5.0
45900,0.001,-364.0,6.0
46000,0.001,-261.0,2.0
46100,0.001,-403.0,8.0
46200,0.001,-292.0,7.000000000000001
46300,0.001,-335.0,13.0
46400,0.001,-453.0,3.0
46500,0.001,-274.0,11.0
46600,0.001,-284.0,9.0
46700,0.001,-369.0,2.0
46800,0.001,-277.0,5.0
46900,0.001,-176.0,11.0
47000,0.001,-335.0,6.0
47100,0.001,-204.0,9.0
47200,0.001,-270.0,5.0
47300,0.001,-273.0,6.0
47400,0.001,-245.0,12.0
47500,0.001,-258.0,9.0
47600,0.001,-302.0,8.0
47700,0.001,-326.0,4.0
47800,0.001,-284.0,11.0
47900,0.001,-317.0,9.0
48000,0.001,-346.0,11.0
48100,0.001,-388.0,5.0
48200,0.001,-220.0,12.0
48300,0.001,-243.0,8.0
48400,0.001,-303.0,10.0
48500,0.001,-216.0,12.0
48600,0.001,-317.0,14.000000000000002
48700,0.001,-308.0,5.0
48800,0.001,-292.0,6.0
48900,0.001,-293.0,8.0
49000,0.001,-220.0,8.0
49100,0.001,-342.0,8.0
49200,0.001,-276.0,12.0
49300,0.001,-260.0,12.0
49400,0.001,-309.0,3.0
49500,0.001,-287.0,8.0
49600,0.001,-244.0,10.0
49700,0.001,-130.0,15.0
49800,0.001,-245.0,13.0
49900,0.001,-321.0,12.0
50000,0.001,-166.0,16.0
