Episode,Epsilon,Average_Reward,Winrate
100,0.9753068636815545,110.0,11.0
200,0.9512234783443504,110.0,11.0
300,0.9277347873242877,120.0,12.0
400,0.9048261057535253,80.0,8.0
500,0.8824831113796653,120.0,12.0
600,0.8606918356116419,160.0,16.0
700,0.8394386547867105,90.0,9.0
800,0.81871028165309,90.0,9.0
900,0.7984937570629174,150.0,15.0
1000,0.7787764418703357,130.0,13.0
1100,0.7595460090296373,140.0,14.000000000000002
1200,0.7407904358885374,140.0,14.000000000000002
1300,0.7224979966717407,80.0,8.0
1400,0.7046572551501221,180.0,18.0
1500,0.6872570574909185,100.0,10.0
1600,0.6702865252844815,160.0,16.0
1700,0.6537350487432148,90.0,9.0
1800,0.6375922800684531,50.0,5.0
1900,0.621848126981135,120.0,12.0
2000,0.606492746412221,80.0,8.0
2100,0.591516538348916,100.0,10.0
2200,0.5769101398328513,120.0,12.0
2300,0.5626644191064656,90.0,9.0
2400,0.5487704699039307,140.0,14.000000000000002
2500,0.5352196058830556,130.0,13.0
2600,0.5220033551946812,150.0,15.0
2700,0.5091134551861729,100.0,10.0
2800,0.49654184723570616,150.0,15.0
2900,0.4842806717141023,180.0,18.0
3000,0.47232226307107766,130.0,13.0
3100,0.4606591450428272,140.0,14.000000000000002
3200,0.4492840259779465,100.0,10.0
3300,0.4381897942787731,150.0,15.0
3400,0.427369513955296,210.0,21.0
3500,0.4168164202888502,80.0,8.0
3600,0.4065239156028915,90.0,9.0
3700,0.3964855651382011,110.0,11.0
3800,0.38669509302994787,140.0,14.000000000000002
3900,0.37714637838408555,120.0,12.0
4000,0.3678334514506396,130.0,13.0
4100,0.3587504898914849,170.0,17.0
4200,0.34989181514028567,180.0,18.0
4300,0.34125188885231833,130.0,13.0
4400,0.332825309441961,180.0,18.0
4500,0.32460680870568215,190.0,19.0
4600,0.3165912485284174,140.0,14.000000000000002
4700,0.30877361767127853,100.0,10.0
4800,0.301149028638582,140.0,14.000000000000002
4900,0.2937127146222422,100.0,10.0
5000,0.2864600265216146,180.0,18.0
