CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 AlphaZeroTrainMultithread.py
MEM 0.281250 1605273887.5032
MEM 16.175781 1605273887.6119
MEM 26.378906 1605273887.7185
MEM 37.656250 1605273887.8283
MEM 43.003906 1605273887.9330
MEM 51.421875 1605273888.0361
MEM 53.593750 1605273888.1398
MEM 92.453125 1605273888.2427
MEM 138.546875 1605273888.3528
MEM 141.753906 1605273888.4579
MEM 148.480469 1605273888.5619
MEM 154.335938 1605273888.6662
MEM 160.414062 1605273888.7701
MEM 163.082031 1605273888.8754
MEM 167.113281 1605273888.9793
MEM 172.757812 1605273889.0846
MEM 176.312500 1605273889.1894
MEM 181.488281 1605273889.2949
MEM 184.289062 1605273889.4008
MEM 187.585938 1605273889.5062
MEM 192.359375 1605273889.6164
MEM 196.085938 1605273889.7231
MEM 202.890625 1605273889.8262
MEM 207.375000 1605273889.9327
MEM 210.968750 1605273890.0403
MEM 215.468750 1605273890.1483
MEM 218.898438 1605273890.2564
MEM 222.007812 1605273890.3662
MEM 226.996094 1605273890.4727
MEM 229.238281 1605273890.5801
MEM 232.886719 1605273890.6864
MEM 234.472656 1605273890.7891
MEM 249.796875 1605273890.8970
MEM 263.089844 1605273891.0041
MEM 274.773438 1605273891.1116
MEM 282.335938 1605273891.2153
MEM 282.593750 1605273891.3205
MEM 282.886719 1605273891.4275
MEM 244.910156 1605273891.5317
MEM 244.910156 1605273891.6366
MEM 242.687500 1605273891.7426
